timestamp,elapsed_s,posture_score,emotion_valence,posture_alert,emotion_label,position
1773295493.6,3.2,100,0.0,,Neutral,calibrating
1773295503.96,13.6,100,-0.449,,Neutral,sitting
1773295514.13,23.7,100,-0.269,,Neutral,sitting
1773295524.33,33.9,100,-0.372,,Neutral,sitting
1773295534.63,44.2,100,-0.413,,Neutral,sitting
1773295544.66,54.3,100,-0.425,,Neutral,sitting
1773295555.61,65.2,100,-0.367,,Neutral,sitting
1773295565.99,75.6,100,-0.308,,Neutral,sitting
1773295591.23,100.8,100,-0.385,,Neutral,sitting
1773295601.34,111.0,100,-0.311,,Neutral,sitting
1773295611.76,121.4,80,-0.386,spine_lean,Neutral,sitting
1773295621.79,131.4,75,-0.352,head_down,Neutral,sitting
1773295631.86,141.5,100,-0.402,,Neutral,sitting
1773295642.58,152.2,100,-0.326,,Neutral,unknown
1773295652.74,162.4,100,-0.211,,Neutral,unknown
1773295663.26,172.9,100,-0.358,,Sadness,unknown
1773295673.28,182.9,100,-0.343,,Neutral,unknown
1773295683.61,193.2,100,-0.422,,Disgust,unknown
1773295693.65,203.3,0,-0.28,,Neutral,
1773295704.13,213.7,100,-0.309,,Neutral,unknown
