timestamp,elapsed_s,event_type,suggestion_key,confirm_ts,complete_ts,intention_action_gap_s,abandoned
1773296981.5,15.1,suggestion,good_posture_positive,,,,
1773296991.84,25.4,dismiss,good_posture_positive,,,,true
1773297001.57,35.1,suggestion,negative_emotion,,,,
1773297006.21,39.8,dismiss,negative_emotion,,,,true
1773297021.9,55.5,suggestion,forward_hunch,,,,
1773297041.9,75.5,suggestion,negative_emotion,,,,
1773297048.37,81.9,dismiss,negative_emotion,,,,true
1773297061.93,95.5,suggestion,forward_hunch,,,,
1773297064.6,98.2,dismiss,forward_hunch,,,,true
