timestamp,elapsed_s,posture_score,emotion_valence,posture_alert,emotion_label,position
1773659427.99,3.1,100,0.0,,Neutral,calibrating
1773659438.4,13.5,100,-0.318,,Neutral,sitting
1773659448.8,23.9,100,-0.374,,Neutral,sitting
1773659459.23,34.4,100,-0.204,,Neutral,sitting
1773659469.27,44.4,100,-0.388,,Neutral,sitting
1773659480.36,55.5,100,-0.437,,Neutral,sitting
1773659490.55,65.7,100,-0.311,,Neutral,sitting
1773659501.05,76.2,100,-0.287,,Neutral,unknown
1773659511.08,86.2,100,-0.253,,Neutral,unknown
1773659522.24,97.4,100,-0.219,,Surprise,unknown
1773659532.39,107.5,100,-0.23,,Surprise,unknown
1773659542.58,117.7,0,-0.333,,Neutral,
1773659553.07,128.2,100,-0.379,,Neutral,unknown
1773659564.24,139.4,0,-0.286,,Neutral,
1773659574.55,149.7,100,-0.256,,Neutral,unknown
1773659586.01,161.1,0,-0.264,,Neutral,
1773659596.2,171.3,0,-0.264,,Neutral,
