timestamp,elapsed_s,posture_score,emotion_valence,posture_alert,emotion_label,position
1773308867.41,7.8,100,0.0,,Neutral,calibrating
1773308877.5,17.9,100,-0.395,,Disgust,sitting
1773308887.6,28.0,100,-0.202,,Contempt,sitting
1773308897.67,38.1,100,-0.34,,Neutral,sitting
1773308908.04,48.5,100,-0.251,,Neutral,sitting
1773308918.07,58.5,100,-0.385,,Neutral,sitting
1773308928.08,68.5,100,-0.426,,Neutral,sitting
1773308938.31,78.7,100,-0.319,,Neutral,sitting
1773308949.42,89.9,100,-0.431,,Disgust,sitting
1773308959.46,99.9,100,-0.439,,Neutral,sitting
1773308969.63,110.1,100,-0.26,,Neutral,sitting
1773308980.02,120.5,75,-0.501,head_down,Neutral,sitting
1773308990.47,130.9,100,-0.43,,Disgust,sitting
1773309000.65,141.1,100,-0.309,,Disgust,sitting
1773309010.93,151.4,100,-0.216,,Contempt,sitting
1773309021.16,161.6,100,-0.38,,Neutral,sitting
1773309031.16,171.6,100,-0.43,,Disgust,sitting
1773309041.64,182.1,75,-0.519,head_down,Disgust,sitting
1773309051.66,192.1,75,-0.471,head_down,Neutral,sitting
1773309061.67,202.1,75,-0.341,head_down,Disgust,sitting
1773309071.67,212.1,100,-0.52,,Sadness,sitting
1773309082.06,222.5,100,-0.48,,Sadness,sitting
1773309092.52,233.0,100,-0.617,,Sadness,sitting
1773309102.62,243.1,100,-0.532,,Sadness,sitting
1773309112.64,253.1,75,-0.593,head_down,Sadness,sitting
